,School_Original,Nickname_Original,Conference_Original,ID,FullName,ShortName,Mascot,Location,Conference,PrestigeHistoric,PrestigeCurrent
212,Illinois State University,Redbirds,Missouri Valley,,,,,,,,
213,Indiana State University,Sycamores,Missouri Valley,,,,,,,,
214,Missouri State University,Bears,Missouri Valley[g],,,,,,,,
215,Murray State University,Racers,Missouri Valley,,,,,,,,
216,University of Northern Iowa (UNI),Panthers,Missouri Valley,,,,,,,,
217,"Southern Illinois University Carbondale (Southern Illinois, SIU)",Salukis,Missouri Valley,,,,,,,,
218,University of Illinois Chicago (UIC),Flames,Missouri Valley,,,,,,,,
219,Valparaiso University (Valpo),Beacons,Missouri Valley,,,,,,,,
220,United States Air Force Academy (Air Force),Falcons,Mountain West,,,,,,,,
221,Boise State University,Broncos,Mountain West,,,,,,,,
222,Colorado State University,Rams,Mountain West,,,,,,,,
223,"California State University, Fresno (Fresno State)",Bulldogs,Mountain West,,,,,,,,
224,"University of Nevada, Reno (Nevada, UNR)",Wolf Pack,Mountain West,,,,,,,,
225,University of New Mexico (UNM),Lobos,Mountain West,,,,,,,,
226,San Diego State University (SDSU),Aztecs,Mountain West,,,,,,,,
227,San Jose State University,Spartans,Mountain West,,,,,,,,
228,"University of Nevada, Las Vegas (UNLV)",Runnin' Rebels,Mountain West,,,,,,,,
229,Utah State University,Aggies,Mountain West,,,,,,,,
230,University of Wyoming,Cowboys,Mountain West,,,,,,,,
231,Central Connecticut State University (Central Connecticut),Blue Devils,Northeast,,,,,,,,
232,Fairleigh Dickinson University,Knights,Northeast,,,,,,,,
233,Le Moyne College[j],Dolphins,Northeast,,,,,,,,
234,Long Island University (LIU),Sharks,Northeast,,,,,,,,
235,Merrimack College,Warriors,Northeast[k],,,,,,,,
236,Sacred Heart University,Pioneers,Northeast[k],,,,,,,,
237,"Saint Francis University (Saint Francis [PA], SFU)",Red Flash,Northeast,,,,,,,,
238,Stonehill College[d],Skyhawks,Northeast,,,,,,,,
239,Wagner College,Seahawks,Northeast,,,,,,,,
240,Eastern Illinois University,Panthers,Ohio Valley,,,,,,,,
241,Lindenwood University[d],Lions,Ohio Valley,,,,,,,,
242,University of Arkansas at Little Rock (Little Rock),Trojans,Ohio Valley,,,,,,,,
243,Morehead State University,Eagles,Ohio Valley,,,,,,,,
244,Southeast Missouri State University (Southeast Missouri or SEMO),Redhawks,Ohio Valley,,,,,,,,
245,Southern Illinois University Edwardsville (SIU Edwardsville or SIUE),Cougars,Ohio Valley,,,,,,,,
246,University of Southern Indiana[d],Screaming Eagles,Ohio Valley,,,,,,,,
247,University of Tennessee at Martin (UT Martin),Skyhawks,Ohio Valley,,,,,,,,
248,Tennessee State University,Tigers,Ohio Valley,,,,,,,,
249,Tennessee Technological University (Tennessee Tech),Golden Eagles,Ohio Valley,,,,,,,,
